Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joel Embiid,PHI,30,24,19,5,33.9,35.7,11.7,22.1,52.8,1.5,3.7,39.3,10.9,12.2,89.4,2.6,9.1,11.8,6,3.9,1.3,2,3.1,64.7,22,2,7.7
Luka Doncic,DAL,25,34,21,13,37.9,34.2,11.5,23.7,48.5,3.6,9.9,36.8,7.6,9.6,78.8,0.9,8.2,9.1,10,4.2,1.5,0.5,2.2,61.9,22,9,5.6
Shai Gilgeous-Alexander,OKC,25,38,32,6,33.6,30.8,10.6,19.8,53.6,1.3,4.1,33.1,8.2,9.3,87.8,0.9,4.9,5.9,6.6,1.7,2.1,0.8,2.4,54.5,4,0,13.9
Donovan Mitchell,CLE,27,26,20,6,35.2,29.7,10,20.9,48,3.4,9.3,36.4,6.2,7.1,87,1.2,3.7,4.9,6.6,2.5,2.1,0.5,1.8,50.6,4,0,8.3
Giannis Antetokounmpo,MIL,29,38,28,10,34.1,28.2,10.7,18.1,59,0.4,1.6,23.7,6.5,10,65,2.8,8.9,11.7,6.3,3.5,1.1,1.2,2.7,55.2,27,7,6.1
Kevin Durant,PHX,35,36,22,14,36.9,28,10.1,19.1,53,2.2,5.1,42.6,5.6,6.6,86,0.6,5.4,6.1,5.1,3.1,0.7,1.3,1.9,46,6,0,3.6
Jalen Brunson,NYK,27,37,27,10,35.4,27.9,10.2,21.3,47.7,2.6,6.6,39.8,4.9,5.9,84.3,0.6,2.9,3.5,7.2,2.2,0.9,0.1,2.1,44.1,6,0,9.3
Stephen Curry,GSW,36,36,19,17,33,27.3,8.9,19.8,45.1,4.9,11.7,41.9,4.4,4.8,92,0.4,3.9,4.3,4.6,3.1,0.7,0.4,1.8,39.5,1,0,0.3
Kyrie Irving,DAL,32,29,21,8,36,27,9.8,20.3,48.3,3.1,7.8,40,4.3,4.7,92,1,4.9,5.9,5.3,1.8,1.3,0.6,1.8,45.8,3,0,6.1
Jayson Tatum,BOS,26,36,32,4,34.6,26.7,8.9,19,46.8,3.1,8.5,36.7,5.8,6.9,83.5,0.8,6.9,7.7,4.9,2.4,0.8,0.6,2.1,45.4,10,0,11.2
LaMelo Ball,CHA,22,11,4,7,33.4,26.3,9.2,20.8,44.1,3.6,9.7,37.4,4.3,5.1,83.9,1.3,4,5.3,8.7,4.5,1.7,0.2,3.5,47,3,0,-3.9
Nikola Jokic,DEN,29,41,33,8,35,26.2,10.1,17.4,58.4,0.8,2.5,32.7,5.1,6.2,81.3,2.8,9.7,12.4,9.5,2.8,1.5,0.9,2.5,59.7,35,16,11.5
Tyrese Maxey,PHI,23,36,23,13,37.2,26.1,9.1,20.1,45,3.2,8.3,39.1,4.8,5.4,89.2,0.5,3.3,3.8,6.3,1.9,0.9,0.5,2.1,42.4,5,0,6
Damian Lillard,MIL,33,39,31,8,35.4,25.4,7.6,17.8,42.7,3.1,8.7,35.6,7,7.5,93.8,0.4,4.1,4.5,6.7,2.6,1,0.2,1.8,41.9,5,0,7.8
Devin Booker,PHX,27,32,22,10,35.5,25.1,8.3,17.6,47.1,2.2,5.8,38.6,6.3,7.2,88.2,0.8,3.5,4.3,7.4,2.8,1.1,0.2,3.2,42.4,9,0,5.1
Anthony Edwards,MIN,22,40,29,11,34.8,25.1,8.6,18.4,46.7,2.3,6.4,35.5,5.7,6.8,83.1,0.5,5,5.4,5,3.2,1.3,0.5,1.5,41.2,3,0,8.1
De'Aaron Fox,SAC,26,38,21,17,35.8,25,9.2,19.9,46.2,2.4,6.7,35.6,4.2,5.7,74.4,0.8,3.8,4.6,6.4,2.7,1.9,0.5,2.7,44.8,5,0,4.1
LeBron James,LAL,39,39,26,13,34.5,24.8,9.3,17.5,52.8,2,5,40.7,4.3,5.5,77.6,0.7,6,6.7,8.8,3.5,1.2,0.4,0.9,47.2,15,2,5.4
Trae Young,ATL,25,30,13,17,35.9,24.6,7.5,17.6,42.7,3,7.8,38.2,6.7,7.5,88.5,0.4,2.1,2.4,10.7,4.1,1.5,0.3,2.1,44.6,19,0,-0.8
Lauri Markkanen,UTA,26,28,15,13,33.3,24.2,8,16,49.8,3.1,7.5,41.6,5.2,5.8,89.5,2,6.7,8.7,1.9,1.4,0.9,0.5,1.7,40.5,12,0,4.1
Anthony Davis,LAL,31,41,28,13,34.6,24,9.1,15.8,58,0.3,1,25.6,5.4,6.6,82,3.2,9.1,12.3,3.8,1.8,1.3,2.4,2.3,53.5,33,0,4.2
DeMar DeRozan,CHI,34,39,19,20,37.8,23.7,8.1,17.1,47,0.9,2.9,31.3,6.7,7.8,85.8,0.6,3.6,4.2,5.3,1.7,1.2,0.7,2.1,40.7,3,0,0.5
Jerami Grant,POR,30,28,9,19,36.7,23.6,8,17.4,46.1,2.1,5.4,39.7,5.4,6.6,81.7,0.9,3.2,4.1,3.3,2.5,0.9,0.4,2.4,34.9,1,0,-5
