Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Luka Doncic,DAL,25,36,25,11,37.1,33.5,11.5,23.5,48.9,4.4,11.3,39.3,6.1,7.8,78.4,0.8,8.6,9.4,9.6,3.9,1.3,0.6,2,61.1,27,12,3.6
Joel Embiid,PHI,30,15,12,3,33.1,33.1,11.3,21.4,53,1.3,3.3,38,9.1,10.6,86.2,2.1,7.7,9.9,4.9,3.8,1,1.3,2.5,55.3,8,0,5.5
Giannis Antetokounmpo,MIL,29,35,17,18,36.3,32.9,12.3,19.5,63.3,0.6,1.9,30.8,7.6,11.5,66.4,2.5,8.8,11.3,6.8,3.3,1.3,0.9,3.1,59.8,30,3,3
Jalen Brunson,NYK,27,40,22,18,35.4,29.5,10.4,21.5,48.2,2.9,7.1,40.4,6,7,85,0.6,3.2,3.7,6.3,2.7,0.9,0.2,1.7,43.9,3,0,4.2
Shai Gilgeous-Alexander,OKC,25,37,23,14,34.4,29.3,10.6,19.8,53.5,1.2,3.1,38.3,6.9,8,86.8,0.8,4.4,5.2,5.8,2.6,1.9,1,2.5,50.4,4,0,2.3
Devin Booker,PHX,27,36,21,15,36.4,28.8,10.5,20.6,50.8,2.3,6.5,34.6,5.6,6.3,89,0.9,3.9,4.8,6.5,2.5,0.8,0.6,2.9,45.9,4,0,4.3
De'Aaron Fox,SAC,26,36,21,15,36.1,28.2,10.3,22,46.7,3.4,9.1,37.9,4.2,5.8,73.1,1,3.5,4.6,4.9,2.5,2.1,0.3,2.5,45.8,1,0,2.2
Trae Young,ATL,25,24,9,15,36,27.1,8.7,20,43.2,3.6,9.8,36.4,6.2,7.5,81.8,0.5,2.7,3.2,11,4.6,1.2,0.1,1.9,46.6,18,0,-3.8
Jayson Tatum,BOS,26,38,25,13,36.8,27,9.3,19.5,47.4,3.1,8,38.5,5.4,6.5,83.1,1,7.5,8.5,4.9,2.7,1.2,0.5,1.9,47,15,0,5.4
Ja Morant,MEM,24,5,4,1,36.5,27,10.4,21.8,47.7,1,5.8,17.2,5.2,6.4,81.3,1,4.8,5.8,8.6,3.8,1,1,2.4,49.1,2,0,2.6
Anthony Edwards,MIN,22,39,25,14,35.4,26.8,9.6,21.1,45.5,2.5,7.1,35.9,5.1,6,84.2,0.8,4.6,5.5,5.3,2.9,1.3,0.6,2.1,43.9,6,0,2.8
LeBron James,LAL,39,32,15,17,36.2,26.7,10.1,18.3,55.4,2.2,5.3,41.4,4.3,5.9,72.1,1,7,8,7.7,3.4,1.3,0.7,1.4,50.7,12,3,0.3
Nikola Jokic,DEN,29,38,22,16,34.3,26.6,10.7,18.4,58.1,1.3,3.3,38.6,3.9,4.8,82.4,2.9,9.4,12.3,8.3,3.2,1.2,0.8,2.4,56.9,33,9,5.5
Kevin Durant,PHX,35,39,22,17,37.5,26.2,9.9,19.2,51.7,2.3,5.7,40.2,4.1,4.8,85,0.5,6.6,7.1,5,3.4,1.1,1.1,1.6,45.5,8,1,4.1
Tyrese Maxey,PHI,23,34,20,14,37.8,25.7,9.2,20.4,44.9,2.8,8,35.3,4.6,5.4,84.2,0.5,3,3.5,6.1,1.4,1.1,0.4,2.2,42.3,4,0,2.5
Stephen Curry,GSW,36,38,24,14,32.5,25.7,8.6,19.2,44.9,4.7,11.9,39.6,3.7,3.9,92.7,0.6,4,4.6,5.6,2.6,0.8,0.4,1.4,40.4,6,0,4.7
Anthony Davis,LAL,31,35,17,18,36.7,25.5,9.7,18.2,53.1,0.5,1.8,28.1,5.7,7,81.1,3.1,10,13,3.2,2.5,1.1,2.3,2.4,53.7,31,2,-0.6
Kawhi Leonard,LAC,32,37,24,13,34.4,25.3,9.9,18.2,54.3,2.3,5.3,42.9,3.3,3.8,87.1,1.3,5,6.3,3.2,1.6,1.7,0.9,1.6,44,3,0,6.2
Desmond Bane,MEM,25,23,11,12,33.5,25,9,18.5,48.4,3.1,8.3,37.7,3.9,4.4,89.1,0.8,3.5,4.3,5,2.7,1,0.7,2.8,40,1,0,-5.3
Julius Randle,NYK,29,25,13,12,36,24.6,8.8,18.4,47.7,1.4,5,28.2,5.7,7.2,78.5,2.2,7.1,9.2,5.1,3.5,0.4,0.3,3,42.2,12,0,2.6
DeMar DeRozan,CHI,34,40,18,22,37.8,24.3,8.4,17.2,48.9,1,2.8,35.5,6.6,7.7,84.8,0.5,3.9,4.4,5.4,1.7,1.1,0.5,2,40.5,4,0,-2
Kyrie Irving,DAL,32,29,18,11,34,24.2,9.6,18.7,51.2,2.9,6.8,42.3,2.2,2.5,87.7,0.6,3.6,4.1,5,1.8,1.2,0.4,2.1,39.9,2,0,3.4
Donovan Mitchell,CLE,27,29,16,13,35.4,23.9,8.3,18.8,44.4,3.2,8.7,37.3,3.9,4.6,85.7,0.6,4.7,5.3,5.6,3,1.6,0.6,2.4,42.1,2,0,3.8
Paolo Banchero,ORL,21,40,18,22,35.4,23.7,8.2,19,43.2,1.5,4.3,34.1,5.9,8.3,71.2,1.3,5.8,7,5.3,3.2,1,0.7,2,42,6,1,-4.4
Jaren Jackson Jr.,MEM,24,36,16,20,31.7,23.6,8.2,17.8,46.2,1.8,5.5,33,5.3,6.5,81.3,1.3,4.4,5.7,2.2,2.5,1.2,1.5,3.6,39.4,5,0,-3.5
Anfernee Simons,POR,24,21,4,17,34.1,23.3,7.8,18.2,42.9,3.7,9,41.3,4,4.3,92.2,0.5,3.1,3.6,5.8,2.8,0.3,0.1,1.8,35,3,0,-9.8
Karl-Anthony Towns,MIN,28,30,19,11,32.9,23.3,8.5,16.2,52.6,2.2,5.3,41.8,4.1,4.5,91,1.6,6.8,8.4,3.1,2.4,0.6,0.7,3.1,39.4,11,0,4.8
Zion Williamson,NOP,23,34,22,12,32,23.2,9.1,16.3,55.6,0.1,0.4,25,5,6.9,73.1,1.9,4.2,6.1,4.8,2.9,1.2,0.8,2.2,40.9,6,0,2.2
Damian Lillard,MIL,33,34,17,17,35.2,23.1,7.2,17.1,41.9,2.9,8.3,35.1,5.9,6.5,89.6,0.6,3.6,4.3,7.2,2.6,1,0.3,1.8,40.1,7,0,2.5
Jaylen Brown,BOS,27,35,21,14,34.4,22.8,9,18.9,47.7,1.9,6.1,31.6,2.9,4.5,63.9,1.3,4.2,5.5,3.5,2.4,1.3,0.5,2.7,37.6,3,1,4.9
Paul George,LAC,33,39,24,15,34.3,22.6,7.5,16.1,47,3.6,8.3,43.1,3.9,4.3,91.1,0.4,4.7,5.1,3.4,1.9,1.6,0.5,2.7,38.3,2,0,6.7
Kyle Kuzma,WAS,28,36,7,29,31.8,22.6,8.7,18.4,47.2,2.1,6,34.9,3.2,4.1,76.5,1.1,5.4,6.5,3.7,2.7,0.6,0.7,2.2,37,6,0,-7.6
Cade Cunningham,DET,22,32,4,28,32.7,22.3,8.5,18.5,45.7,2,5.4,37.4,3.3,4,84.3,0.5,3.3,3.8,6.8,3.3,0.7,0.4,2.4,37.2,3,0,-6.4
Lauri Markkanen,UTA,26,27,7,20,32.9,22.2,7.6,16.4,46.2,3.3,8.5,38.3,3.9,4.3,90.4,2.4,5.2,7.6,2.1,1.4,0.9,0.4,1.9,37,7,0,-3.5
Dejounte Murray,ATL,27,39,14,25,34.8,22.1,8.3,18.3,45,2.6,7.2,36.6,3,3.8,78.5,0.8,4.1,4.9,6,2.5,1.4,0.3,1.6,39.7,9,0,-4.9
Cam Thomas,BKN,22,35,11,24,31.1,21.7,7.8,17.3,45,2,5.7,34.7,4.2,5.1,83.6,0.4,2.7,3.1,3.1,2,0.6,0.2,2,30.6,0,0,-5.3
LaMelo Ball,CHA,22,11,3,8,31.2,21.5,7.5,17.6,42.3,2.7,8.2,33.3,3.9,4.4,89.6,1.4,3.6,5,7.3,3.1,1.9,0.2,3.7,41.6,4,1,-8.7
Pascal Siakam,IND,30,41,16,25,33.3,21.4,8.4,15.8,52.9,0.9,2.9,32.2,3.8,5.4,70.5,1.7,5.1,6.9,4.3,1.7,0.7,0.4,2.6,37.8,8,0,-0.5
Jamal Murray,DEN,27,28,18,10,32.2,21.3,8.1,17.3,47,2.4,5.8,40.7,2.8,3.1,87.5,0.7,3.8,4.5,6.1,2.2,1,0.8,1.9,38.8,6,0,2.9
Tyrese Haliburton,IND,24,33,18,15,32.8,21.1,7.5,15.7,48.2,3.3,8.4,38.8,2.7,3.4,80.2,0.7,3.7,4.3,10.8,2.1,1.2,0.7,0.9,46.1,22,0,3.8
Terry Rozier,MIA,30,31,11,20,33.9,20.8,7.6,17.2,44.5,2.5,6.8,36.8,3,3.4,87.7,0.5,3.6,4.2,5.6,1.8,1.2,0.5,1.5,37.6,2,0,-5.2
Tyler Herro,MIA,24,21,11,10,33.6,20.5,7.6,17.7,43.1,2.9,7.8,37.2,2.3,2.7,86,0.4,4.9,5.3,4.1,1.9,0.5,0.1,1.7,33,1,0,-1.4
Jimmy Butler,MIA,34,28,16,12,33.9,20.2,6.4,13,48.9,1,2.4,41.2,6.5,7.8,83.9,1.4,3.6,5,4.9,1.5,1.5,0.4,1.3,37.5,1,0,4.7
Alperen Sengun,HOU,21,31,8,23,32,20.2,8,15.5,51.5,0.6,1.9,31,3.6,5.6,64.7,3.1,5.8,8.9,4.3,2.6,1.1,0.8,3.5,40.6,14,0,-3.6
CJ McCollum,NOP,32,33,25,8,32.6,20.2,7.5,15.5,48.1,3.9,8.2,47.1,1.3,1.6,81.5,0.4,3.8,4.2,4.4,1.8,0.8,0.5,1.9,34.2,1,0,3.8
Jalen Williams,OKC,23,36,22,14,32.7,20,7.8,15,51.9,1.5,3.6,40.8,3,3.6,82.4,0.6,3.4,4,4.9,1.7,1.3,0.4,2.7,35.6,2,0,3.4
Bam Adebayo,MIA,26,35,20,15,35.5,20,7.5,14.4,52.1,0.2,0.6,31.8,4.8,6.2,76.6,2.2,8.6,10.9,3.9,2.6,1.3,0.8,2.4,42.6,23,1,-0.4
Brandon Ingram,NOP,26,34,20,14,32.7,20,7.7,16.2,47.5,1,3.6,27.4,3.6,4.6,78.7,0.6,4.4,5,5.6,2.9,0.6,0.6,2.4,35.1,1,0,0.5
Victor Wembanyama,SAS,20,33,9,24,28.5,20,7.2,15.9,45.6,1.5,5,30.9,3.9,4.9,79.8,1.9,7.7,9.6,3.7,3.3,1.1,3.8,2,48.3,17,2,-2.5
Kristaps Porzingis,BOS,28,29,18,11,30.5,20,6.8,13.6,50.1,1.8,5.2,33.8,4.6,5.6,83.2,1.8,5.1,6.9,2.2,1.5,0.8,2.4,2.9,39.6,5,0,6.9
Coby White,CHI,24,41,19,22,36.8,19.9,7.2,15.3,47.4,2.8,6.9,39.9,2.7,3.3,81.5,0.5,3.9,4.5,5.1,2.1,0.8,0.2,2.2,34,2,0,0
RJ Barrett,TOR,23,29,12,17,31.4,19.8,7.2,14.8,48.7,1.7,4.5,37.4,3.7,4.7,77.4,0.9,4.4,5.4,3.3,2.1,0.6,0.4,2.5,32.2,2,0,-3.7
Miles Bridges,CHA,26,34,7,27,36.7,19.7,7.7,17.4,44.5,2.1,6.2,33.5,2.1,2.7,79.1,1,6,6.9,3,2,0.9,0.4,1.5,34.3,8,0,-12.5
Franz Wagner,ORL,22,34,16,18,33.6,19.4,7.3,15.9,45.7,1.4,5.1,27.6,3.5,4.1,84.3,1,4.6,5.6,3.8,2.3,1.1,0.3,2.7,33.9,0,0,0
Domantas Sabonis,SAC,27,41,22,19,35.6,19.4,7.8,12.8,61,0.4,1,41,3.4,4.8,71.1,3.8,9.8,13.6,8.1,3.2,0.8,0.7,3.1,49.1,38,12,-0.2
Jalen Green,HOU,22,41,14,27,31.9,19.3,6.6,16,41.1,2.4,7.4,32.5,3.8,4.6,82,0.5,4.8,5.4,3.8,2.7,0.7,0.3,1.7,31.8,5,1,-3.3
