Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
New Orleans Pelicans,42,28,14,0.667,48,115.3,42.5,86.3,49.2,12.7,31.9,39.7,17.6,22.8,77.5,10.1,34.2,44.4,26.6,13.1,7.9,4.5,4.9,18.1,18.2,5.3
Boston Celtics,41,27,14,0.659,48.5,118,42.9,90,47.7,16,42.7,37.4,16.2,20.8,77.9,10.8,34.7,45.4,26.8,12,6.6,6.6,3.7,15.9,17.5,7.5
LA Clippers,41,26,15,0.634,48.1,115.9,42.1,86.3,48.8,13.2,33.2,39.8,18.4,22.2,82.8,10.1,32.9,43,24.8,13,8.1,4.8,4.8,18.8,18.4,3.6
Minnesota Timberwolves,41,26,15,0.634,48.4,114,42.1,87.2,48.3,12.5,32.3,38.7,17.2,21.7,79.4,10.1,33.3,43.4,26.2,13.4,7.5,5.3,4.9,19.3,19.5,4.7
Dallas Mavericks,41,25,16,0.61,48,117,43.6,90.3,48.2,14.7,40.4,36.4,15.2,20.2,75.1,9.1,33.4,42.5,25.8,12.2,6.8,4.8,3.9,17.5,18.8,0.8
Golden State Warriors,41,25,16,0.61,48.2,118,44,91.2,48.3,14.7,38.4,38.3,15.2,19.9,76.6,11.8,35,46.8,28.9,14.5,7.3,4.8,5.1,19.9,17.5,4.5
Denver Nuggets,41,24,17,0.585,48,111.2,43,89.1,48.2,11.1,30.7,36.1,14.1,19,74.3,11.4,32.8,44.1,27.9,12.8,7,5.8,5.4,17.9,17.4,0.7
Miami Heat,41,24,17,0.585,48.4,108.1,38.8,85,45.7,12.2,33.8,36.1,18.3,22.5,81.1,8.9,33.6,42.4,25.2,12.6,7.9,3.5,5,17.6,19.1,1.6
Oklahoma City Thunder,41,24,17,0.585,48.1,117,43.4,88.8,48.9,12.8,33.1,38.7,17.4,21.1,82.4,9,31.4,40.4,26.2,12.9,9,5.9,5.5,19.2,18.6,1.9
Phoenix Suns,41,24,17,0.585,48.5,116.7,43.5,87.3,49.8,12.4,32.8,37.7,17.3,21.5,80.5,10.7,33.9,44.5,27.2,15,7.3,6.1,4.2,17.6,18.8,3.1
