Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,41,37,4,0.902,48.2,123.1,44.9,90.4,49.7,17,42.2,40.3,16.3,19.6,83.5,10.6,36.6,47.2,27,11.9,7,6.5,3.7,16.4,17.1,15.2
Denver Nuggets,41,33,8,0.805,48.1,118.5,45,88.4,51,12.3,31.7,38.7,16.1,20.7,77.9,10.1,34.6,44.7,31,12.5,7.2,5.4,4.2,18.4,18.4,9.8
Oklahoma City Thunder,41,33,8,0.805,48.5,123.1,45.7,89.9,50.8,13.8,35.3,39,18,21.8,82.6,8.6,35.1,43.7,28,12.5,7.9,7.2,4.7,18.4,19.1,13
Milwaukee Bucks,42,31,11,0.738,48.5,121.2,43.8,89.4,49,14.9,38.5,38.7,18.7,23.7,78.8,10,35.2,45.3,27.3,13.1,7,5.3,4.1,19.3,18.9,6.3
Minnesota Timberwolves,41,30,11,0.732,48.2,112,40.4,82.9,48.7,12.8,33.1,38.7,18.4,24.2,76.1,8.6,35.2,43.8,27,14.9,8.3,6.8,4.2,18.3,20.3,8.2
Orlando Magic,41,29,12,0.707,48.2,112.6,41.4,84.9,48.7,11.2,31.6,35.4,18.6,24,77.6,10.9,32.5,43.4,25.8,15.1,8.1,5.3,4.4,19.7,20.4,7.6
Los Angeles Lakers,42,28,14,0.667,48.2,119,43.9,86.9,50.5,11.8,30.5,38.8,19.4,24.5,79,8.4,35.1,43.5,29.2,14,7.5,5.4,4.9,15.5,19.6,4.4
Houston Rockets,41,27,14,0.659,48.2,116,42.4,90.7,46.8,13.5,36.2,37.3,17.6,22.4,78.8,10.7,34.9,45.6,25.1,12.2,8.2,4,5.8,19.6,19,5.3
New York Knicks,41,27,14,0.659,48.1,111.2,40.8,88.9,45.9,13.3,36.5,36.5,16.4,21.5,76.2,13.1,32.8,45.9,24.6,12.7,7.3,4.1,5.1,17,19.3,5.9
Cleveland Cavaliers,41,26,15,0.634,48.2,114.5,42.8,88.1,48.6,14.2,37.5,37.9,14.7,19.4,75.5,10.5,32.9,43.5,29.1,13.3,7.2,4.5,5.1,16.8,18.4,4
Indiana Pacers,41,26,15,0.634,48.1,125.5,47.6,92.6,51.4,13.7,35.5,38.6,16.6,20.2,82.1,9.8,32,41.8,31,13.2,8,5.6,5.6,21.7,18.1,6.8
Dallas Mavericks,41,25,16,0.61,48.1,118.7,42.7,89,47.9,14.5,38.7,37.5,18.9,24.7,76.5,10.3,33,43.3,25.6,12.9,6.9,5.1,4.2,19,21.9,3.6
LA Clippers,41,25,16,0.61,48,115.3,42.6,87.1,48.9,12,33.1,36.4,18.1,22.1,82.2,9.9,33,42.9,26.3,13.3,7.5,5.3,4.6,18.2,19.1,3
Philadelphia 76ers,41,25,16,0.61,48.1,115.5,41.5,90.2,46,12.2,33.4,36.5,20.3,24.1,84.2,11.5,33.5,45,25.3,12.3,8.2,6.2,6.3,19.9,18.4,4.9
Phoenix Suns,41,25,16,0.61,48,115.8,41.5,85,48.8,12.5,32.3,38.6,20.4,25.2,81.1,9.6,34,43.6,26.9,14.8,7.5,5.9,4.9,18.4,20.5,3
Sacramento Kings,41,24,17,0.585,48.6,118.5,43.6,90.9,48,14.6,38.8,37.7,16.6,22.2,74.9,10.7,33.2,43.9,29.1,13,7.7,4.2,4.9,20,18.9,2.3
Miami Heat,41,22,19,0.537,48,112.1,40.8,86.3,47.3,12.7,33.6,37.8,17.8,21.5,82.7,9.8,32.3,42.1,26.4,12.7,7.1,3.3,4.5,17,18.7,1.9
New Orleans Pelicans,40,21,19,0.525,48.1,114.9,42.5,88.5,48,12.3,33.4,36.8,17.6,22.9,76.8,10.7,32.9,43.6,27.3,13,8.8,4.7,5.5,18.7,18.6,3.5
Atlanta Hawks,41,21,20,0.512,48.7,121.9,44.7,93.1,48,13.8,37.5,36.9,18.7,23.2,80.7,12.6,32.6,45.2,27.8,13.6,7.6,4.7,5.3,18.5,19.4,1.1
Golden State Warriors,41,21,20,0.512,48.5,117.5,43.3,92.1,47,14.8,39.4,37.6,16,20.2,79.3,12.5,34.1,46.6,29.7,14.1,6.6,4.4,4.8,19.1,18.4,0.7
Utah Jazz,41,21,20,0.512,48.5,119.5,43.1,90.5,47.6,13.7,37.3,36.6,19.7,23.3,84.4,12.1,34.8,46.9,28.1,15.3,6.9,6,6.5,19.5,19.5,1.7
Brooklyn Nets,41,20,21,0.488,48.2,112.2,41.2,89.6,46,13.9,37.4,37.1,16,20.9,76.3,11.7,33.1,44.9,25.9,12.6,7.1,6,5.2,18.4,18.5,1.3
Chicago Bulls,41,20,21,0.488,48.9,111.5,41.7,89.3,46.6,11.1,32.2,34.6,17.1,21.2,80.4,11.3,33.3,44.6,25.1,13,8,5,4.9,18.4,18.9,-0.1
Toronto Raptors,41,14,27,0.341,48,110.4,42,89.6,46.8,10.6,32.1,33,15.8,21.3,74.1,11.5,31.9,43.3,28.5,14,8,5,6,17.7,18.2,-6.1
San Antonio Spurs,41,12,29,0.293,48.7,114.2,42.3,90.4,46.8,13.3,37.1,35.8,16.3,20.7,78.7,10.9,34.5,45.4,30.1,15.4,7,6.5,4.1,17.5,18.1,-4.1
Charlotte Hornets,41,11,30,0.268,48.2,108.1,40.2,86.3,46.6,12.2,34.2,35.7,15.4,19.4,79.5,8.6,31.8,40.4,25.1,13.6,6.2,4.2,4.8,18.1,17.6,-8
Portland Trail Blazers,41,11,30,0.268,48.4,108,39.8,90.2,44.1,11.5,33,35,17,21.2,80,13.7,29.9,43.7,23.1,14.6,7.7,3.9,6.3,19.8,17.8,-6.6
Memphis Grizzlies,41,9,32,0.22,48.1,104,37.8,87.8,43.1,13,37.6,34.4,15.3,20.5,75,10.7,30.3,41,24.3,14.8,8.7,5.6,6.5,19.1,18.7,-7.4
Detroit Pistons,40,7,33,0.175,48,110.3,40.8,87,46.9,11.1,32,34.7,17.6,22.2,79.3,10.2,33.3,43.5,26.2,15.4,6.5,4.8,5.8,20.7,17.7,-8
Washington Wizards,41,7,34,0.171,48.1,112.8,43.1,90,47.8,12,35.7,33.7,14.6,18.8,77.8,8.8,32.5,41.3,28.1,14.1,6.8,5.1,5.7,19.9,17.3,-9.1
